wallet,score,wins,losses,samples,winrate,wlb,seen,last_seen_ts,last_seen_utc,blue_txs,beluga_txs,whale_score
3zKp6gkZTq9jYZ3Y6igiBKhB9dMRefHrjAhrsnKTFTzf,30,9,6,15,0.6,0.357464427565077,23,1767528738,2026-01-04T12:12:18,0,0,0.0
849Xvo8ohwttB57G69APnY7NvKv1w58BinNPHTzgzDeJ,10,4,4,8,0.5,0.2152125268244419,12,1767538904,2026-01-04T15:01:44,0,0,0.0
3C4TrWB8Jaz6TnL93N21Vzb7KHHY8XMumoSGsEw5k7EL,10,4,4,8,0.5,0.2152125268244419,31,1767563733,2026-01-04T21:55:33,0,0,0.0
9XrByjEEYoopb8fJL2URSdRWfBE9PB89MfpJg1K4Mh7K,8,6,7,13,0.46153846153846156,0.23205754301488138,47,1767563157,2026-01-04T21:45:57,0,0,0.0
327Q1GbcVn4jZs1ep5xqduudwcKGzwCs7CZhcPhdX4CK,8,6,7,13,0.46153846153846156,0.23205754301488138,15,1767562136,2026-01-04T21:28:56,0,0,0.0
3YHsJyVAcsQGCH6i94xbP7FwgJX3cjDZhfMYt9hXvTVD,8,4,4,8,0.5,0.2152125268244419,8,1767522210,2026-01-04T10:23:30,0,0,0.0
GRkhriDFbqV8rc2fdDHRQ7jm27nSeQt7oehZg46iUhV4,8,4,4,8,0.5,0.2152125268244419,15,1767544824,2026-01-04T16:40:24,0,0,0.0
CpcavSoDd9NU9RhzvYqREs2QWPwN1rJ98vf3PyXYA4QM,8,4,4,8,0.5,0.2152125268244419,24,1767544647,2026-01-04T16:37:27,0,0,0.0
JkTWpWYtZeGjcUKXKT1dfN6xJHGVMNBECh5cJSSx3hU,8,4,4,8,0.5,0.2152125268244419,13,1767545016,2026-01-04T16:43:36,0,0,0.0
